no,tanggal,waktu,isolat,u,diameter_1,diameter_2,diameter_3,diameter_4,status,keterangan
1,7/29/2025,10:15:00,FK-1,1,3.30,3.60,4.10,3.80,,
2,7/29/2025,10:15:00,FK-1,2,6.50,6.80,9.50,8.70,,
3,7/29/2025,10:15:00,FK-1,3,3.30,5.20,5.50,3.80,,
4,7/29/2025,10:15:00,FK-1,4,5.80,5.60,5.40,3.50,,
5,7/29/2025,10:15:00,FK-1,5,4.50,3.70,6.30,4.90,,
6,7/29/2025,10:15:00,FK-3,1,5.00,5.10,5.70,5.80,,
7,7/29/2025,10:15:00,FK-3,2,4.90,5.40,5.20,5.80,,
8,7/29/2025,10:15:00,FK-3,3,3.30,3.40,3.40,4.20,,isolat jatuh ke tutup petri dish
9,7/29/2025,10:15:00,FK-3,4,4.40,4.10,4.80,5.80,,
10,7/29/2025,10:15:00,FK-3,5,6.20,7.90,5.70,5.30,,
11,7/29/2025,10:15:00,FK-4,1,5.80,6.30,6.90,6.10,,
12,7/29/2025,10:15:00,FK-4,2,5.40,6.40,6.00,6.20,,
13,7/29/2025,10:15:00,FK-4,3,3.30,4.10,3.50,3.50,,
14,7/29/2025,10:15:00,FK-4,4,4.00,2.80,3.40,3.20,,
15,7/29/2025,10:15:00,FK-4,5,2.80,3.50,3.10,3.90,,
16,7/29/2025,10:15:00,FK-5,1,8.40,8.50,8.80,8.30,,
17,7/29/2025,10:15:00,FK-5,2,8.50,6.20,6.30,6.70,,
18,7/29/2025,10:15:00,FK-5,3,4.90,5.00,5.10,5.40,,
19,7/29/2025,10:15:00,FK-5,4,8.60,7.80,10.10,9.40,,
20,7/29/2025,10:15:00,FK-5,5,8.20,5.40,8.70,6.70,,
21,7/29/2025,10:15:00,FP-1,1,6.10,5.90,5.30,5.80,,
22,7/29/2025,10:15:00,FP-1,2,6.50,5.50,4.70,5.60,,seal sedikit gosong
23,7/29/2025,10:15:00,FP-1,3,5.80,5.40,5.50,5.90,,
24,7/29/2025,10:15:00,FP-1,4,5.40,5.70,5.30,4.60,,
25,7/29/2025,10:15:00,FP-1,5,4.60,3.70,4.90,4.60,,
26,7/29/2025,10:15:00,FP-2,1,3.90,3.80,4.00,3.80,,
27,7/29/2025,10:15:00,FP-2,2,3.70,3.40,3.40,3.80,,
28,7/29/2025,10:15:00,FP-2,3,5.50,4.80,4.90,5.40,,
29,7/29/2025,10:15:00,FP-2,4,5.50,4.70,4.90,5.60,,
30,7/29/2025,10:15:00,FP-2,5,3.50,3.40,4.10,4.50,,
31,7/29/2025,10:15:00,FP-3,1,4.30,3.70,4.70,4.00,,
32,7/29/2025,10:15:00,FP-3,2,5.30,5.40,3.70,5.50,,
33,7/29/2025,10:15:00,FP-3,3,5.50,4.90,3.80,4.70,,
34,7/29/2025,10:15:00,FP-3,4,3.20,4.80,4.10,3.90,,
35,7/29/2025,10:15:00,FP-3,5,4.90,3.80,5.30,3.60,,
36,7/29/2025,10:15:00,FP-5,1,4.00,3.40,3.50,3.80,,
37,7/29/2025,10:15:00,FP-5,2,3.50,3.40,3.00,3.30,,
38,7/29/2025,10:15:00,FP-5,3,4.20,4.20,3.50,4.20,,
39,7/29/2025,10:15:00,FP-5,4,4.90,4.70,4.10,3.90,,
40,7/29/2025,10:15:00,FP-5,5,4.10,3.60,3.60,3.60,,
41,7/30/2025,10:15:25,FK-1,1,13.90,14.20,14.70,15.10,,
42,7/30/2025,10:15:25,FK-1,2,20.10,17.80,17.20,19.20,,
43,7/30/2025,10:15:25,FK-1,3,17.20,13.80,12.20,12.50,,isolat jatuh
44,7/30/2025,10:15:25,FK-1,4,18.60,19.70,16.10,14.40,,
45,7/30/2025,10:15:25,FK-1,5,15.40,19.20,20.00,17.40,,
46,7/30/2025,10:15:25,FK-3,1,17.60,14.60,16.50,15.40,,
47,7/30/2025,10:15:25,FK-3,2,16.30,14.40,13.50,13.80,,
48,7/30/2025,10:15:25,FK-3,3,12.40,13.00,16.20,16.50,,
49,7/30/2025,10:15:25,FK-3,4,14.90,13.90,18.00,17.50,,
50,7/30/2025,10:15:25,FK-3,5,14.70,14.60,13.00,14.50,,
51,7/30/2025,10:15:25,FK-4,1,15.30,14.70,14.90,14.60,,
52,7/30/2025,10:15:25,FK-4,2,16.60,16.30,15.20,15.40,,
53,7/30/2025,10:15:25,FK-4,3,6.40,6.70,7.60,7.60,,
54,7/30/2025,10:15:25,FK-4,4,10.90,10.20,12.20,11.70,,
55,7/30/2025,10:15:25,FK-4,5,5.30,4.80,5.30,4.30,,
56,7/30/2025,10:15:25,FK-5,1,16.50,15.20,16.50,17.40,,
57,7/30/2025,10:15:25,FK-5,2,15.80,14.60,14.30,16.00,,
58,7/30/2025,10:15:25,FK-5,3,13.20,10.80,11.20,12.20,,
59,7/30/2025,10:15:25,FK-5,4,24.60,18.20,18.70,24.50,,
60,7/30/2025,10:15:25,FK-5,5,16.50,17.70,16.90,15.70,,
61,7/30/2025,10:15:25,FK-6,1,4.60,4.80,4.70,5.20,,
62,7/30/2025,10:15:25,FK-6,2,5.30,6.30,5.90,6.40,,
63,7/30/2025,10:15:25,FK-6,3,5.60,6.80,6.00,5.00,,
64,7/30/2025,10:15:25,FK-6,4,4.70,4.70,4.50,5.00,,
65,7/30/2025,10:15:25,FK-6,5,6.00,6.00,5.20,5.00,,
66,7/30/2025,10:15:25,FP-1,1,13.80,13.90,14.60,14.20,,
67,7/30/2025,10:15:25,FP-1,2,18.40,23.60,30.80,29.80,,
68,7/30/2025,10:15:25,FP-1,3,15.80,14.30,14.80,14.90,,
69,7/30/2025,10:15:25,FP-1,4,14.50,13.80,10.80,12.10,,
70,7/30/2025,10:15:25,FP-1,5,4.00,4.40,5.40,4.00,,
71,7/30/2025,10:15:25,FP-2,1,14.20,16.00,16.30,12.20,,
72,7/30/2025,10:15:25,FP-2,2,12.20,11.80,9.80,10.60,,
73,7/30/2025,10:15:25,FP-2,3,13.30,14.50,13.80,12.00,,
74,7/30/2025,10:15:25,FP-2,4,14.20,13.70,13.80,17.80,,
75,7/30/2025,10:15:25,FP-2,5,13.00,12.80,13.80,15.00,,
76,7/30/2025,10:15:25,FP-3,1,14.10,13.00,13.70,14.00,,
77,7/30/2025,10:15:25,FP-3,2,21.40,20.40,15.90,15.50,,
78,7/30/2025,10:15:25,FP-3,3,31.20,21.30,16.70,24.80,,
79,7/30/2025,10:15:25,FP-3,4,14.70,20.80,20.00,14.50,,
80,7/30/2025,10:15:25,FP-3,5,14.40,16.30,17.40,18.00,,
81,7/30/2025,10:15:25,FP-5,1,15.50,16.80,15.30,15.90,,
82,7/30/2025,10:15:25,FP-5,2,15.10,14.50,14.70,17.00,,
83,7/30/2025,10:15:25,FP-5,3,13.80,12.50,12.60,12.20,,
84,7/30/2025,10:15:25,FP-5,4,12.00,11.30,12.30,12.70,,
85,7/30/2025,10:15:25,FP-5,5,16.30,16.90,15.30,16.70,,
86,7/30/2025,10:15:25,FP-6,1,5.10,6.80,6.50,4.50,,
87,7/30/2025,10:15:25,FP-6,2,4.20,4.40,5.70,6.00,,
88,7/30/2025,10:15:25,FP-6,3,7.20,6.40,9.30,11.00,,
89,7/30/2025,10:15:25,FP-6,4,6.30,5.70,5.60,5.70,,
90,7/30/2025,10:15:25,FP-6,5,5.00,5.20,4.10,4.30,,
91,7/31/2025,09:54:25,FK-1,1,24.10,24.80,24.70,24.80,,
